IP Address,Sent,Received,Packet Loss Rate,Average Latency,Download Speed
104.29.125.182,4,4,0.00%,152.45ms,0.00
104.26.0.188,4,4,0.00%,158.10ms,0.00
104.20.20.191,4,4,0.00%,161.38ms,0.00
172.65.235.41,4,4,0.00%,165.20ms,0.00
172.67.66.231,4,4,0.00%,165.82ms,0.00
172.65.227.65,4,4,0.00%,166.22ms,0.00
104.20.16.236,4,4,0.00%,167.86ms,0.00
104.20.19.111,4,4,0.00%,168.47ms,0.00
172.67.69.39,4,4,0.00%,169.72ms,0.00
172.67.64.17,4,4,0.00%,169.88ms,0.00
